language,algorithm,data_size,before_first_20,after_first_20
C,Bubble Sort,1000,[981744 240537 877412 374438 352474 725106 62689 507084 906741 21309 758742 140286 722197 302948 88004 667966 702792 748860 732753 366942],[712 787 804 2577 3991 4076 4128 4702 4978 6260 7542 8408 10592 11562 14606 15047 15565 16002 16033 16066]
C,Improved Bubble Sort,1000,[981744 240537 877412 374438 352474 725106 62689 507084 906741 21309 758742 140286 722197 302948 88004 667966 702792 748860 732753 366942],[712 787 804 2577 3991 4076 4128 4702 4978 6260 7542 8408 10592 11562 14606 15047 15565 16002 16033 16066]
C,Selection Sort,1000,[981744 240537 877412 374438 352474 725106 62689 507084 906741 21309 758742 140286 722197 302948 88004 667966 702792 748860 732753 366942],[712 787 804 2577 3991 4076 4128 4702 4978 6260 7542 8408 10592 11562 14606 15047 15565 16002 16033 16066]
C,Heap Sort,1000,[981744 240537 877412 374438 352474 725106 62689 507084 906741 21309 758742 140286 722197 302948 88004 667966 702792 748860 732753 366942],[712 787 804 2577 3991 4076 4128 4702 4978 6260 7542 8408 10592 11562 14606 15047 15565 16002 16033 16066]
C,Insertion Sort,1000,[981744 240537 877412 374438 352474 725106 62689 507084 906741 21309 758742 140286 722197 302948 88004 667966 702792 748860 732753 366942],[712 787 804 2577 3991 4076 4128 4702 4978 6260 7542 8408 10592 11562 14606 15047 15565 16002 16033 16066]
C,Shell Sort,1000,[981744 240537 877412 374438 352474 725106 62689 507084 906741 21309 758742 140286 722197 302948 88004 667966 702792 748860 732753 366942],[712 787 804 2577 3991 4076 4128 4702 4978 6260 7542 8408 10592 11562 14606 15047 15565 16002 16033 16066]
C,Merge Sort,1000,[981744 240537 877412 374438 352474 725106 62689 507084 906741 21309 758742 140286 722197 302948 88004 667966 702792 748860 732753 366942],[712 787 804 2577 3991 4076 4128 4702 4978 6260 7542 8408 10592 11562 14606 15047 15565 16002 16033 16066]
C,Quick Sort,1000,[981744 240537 877412 374438 352474 725106 62689 507084 906741 21309 758742 140286 722197 302948 88004 667966 702792 748860 732753 366942],[712 787 804 2577 3991 4076 4128 4702 4978 6260 7542 8408 10592 11562 14606 15047 15565 16002 16033 16066]
C,Bucket Sort,1000,[981744 240537 877412 374438 352474 725106 62689 507084 906741 21309 758742 140286 722197 302948 88004 667966 702792 748860 732753 366942],[712 787 804 2577 3991 4076 4128 4702 4978 6260 7542 8408 10592 11562 14606 15047 15565 16002 16033 16066]
C,Bubble Sort,10000,[443429 261532 975663 993860 146330 306139 919971 360065 765845 370855 766240 802710 773555 915673 223975 322468 286639 555225 267753 308551],[147 154 301 342 430 443 532 686 731 771 794 851 914 999 1022 1096 1182 1234 1473 1595]
C,Improved Bubble Sort,10000,[443429 261532 975663 993860 146330 306139 919971 360065 765845 370855 766240 802710 773555 915673 223975 322468 286639 555225 267753 308551],[147 154 301 342 430 443 532 686 731 771 794 851 914 999 1022 1096 1182 1234 1473 1595]
C,Selection Sort,10000,[443429 261532 975663 993860 146330 306139 919971 360065 765845 370855 766240 802710 773555 915673 223975 322468 286639 555225 267753 308551],[147 154 301 342 430 443 532 686 731 771 794 851 914 999 1022 1096 1182 1234 1473 1595]
C,Heap Sort,10000,[443429 261532 975663 993860 146330 306139 919971 360065 765845 370855 766240 802710 773555 915673 223975 322468 286639 555225 267753 308551],[147 154 301 342 430 443 532 686 731 771 794 851 914 999 1022 1096 1182 1234 1473 1595]
C,Insertion Sort,10000,[443429 261532 975663 993860 146330 306139 919971 360065 765845 370855 766240 802710 773555 915673 223975 322468 286639 555225 267753 308551],[147 154 301 342 430 443 532 686 731 771 794 851 914 999 1022 1096 1182 1234 1473 1595]
C,Shell Sort,10000,[443429 261532 975663 993860 146330 306139 919971 360065 765845 370855 766240 802710 773555 915673 223975 322468 286639 555225 267753 308551],[147 154 301 342 430 443 532 686 731 771 794 851 914 999 1022 1096 1182 1234 1473 1595]
C,Merge Sort,10000,[443429 261532 975663 993860 146330 306139 919971 360065 765845 370855 766240 802710 773555 915673 223975 322468 286639 555225 267753 308551],[147 154 301 342 430 443 532 686 731 771 794 851 914 999 1022 1096 1182 1234 1473 1595]
C,Quick Sort,10000,[443429 261532 975663 993860 146330 306139 919971 360065 765845 370855 766240 802710 773555 915673 223975 322468 286639 555225 267753 308551],[147 154 301 342 430 443 532 686 731 771 794 851 914 999 1022 1096 1182 1234 1473 1595]
C,Bucket Sort,10000,[443429 261532 975663 993860 146330 306139 919971 360065 765845 370855 766240 802710 773555 915673 223975 322468 286639 555225 267753 308551],[147 154 301 342 430 443 532 686 731 771 794 851 914 999 1022 1096 1182 1234 1473 1595]
C,Heap Sort,100000,[349543 922808 479946 271338 315461 452473 730670 302576 614962 262185 189748 417978 563018 8783 209571 53006 656333 406734 339703 319714],[12 13 18 20 26 33 46 46 49 55 58 59 63 67 71 74 81 97 119 120]
C,Shell Sort,100000,[349543 922808 479946 271338 315461 452473 730670 302576 614962 262185 189748 417978 563018 8783 209571 53006 656333 406734 339703 319714],[12 13 18 20 26 33 46 46 49 55 58 59 63 67 71 74 81 97 119 120]
C,Merge Sort,100000,[349543 922808 479946 271338 315461 452473 730670 302576 614962 262185 189748 417978 563018 8783 209571 53006 656333 406734 339703 319714],[12 13 18 20 26 33 46 46 49 55 58 59 63 67 71 74 81 97 119 120]
C,Quick Sort,100000,[349543 922808 479946 271338 315461 452473 730670 302576 614962 262185 189748 417978 563018 8783 209571 53006 656333 406734 339703 319714],[12 13 18 20 26 33 46 46 49 55 58 59 63 67 71 74 81 97 119 120]
C,Bucket Sort,100000,[349543 922808 479946 271338 315461 452473 730670 302576 614962 262185 189748 417978 563018 8783 209571 53006 656333 406734 339703 319714],[12 13 18 20 26 33 46 46 49 55 58 59 63 67 71 74 81 97 119 120]
C,Heap Sort,1000000,[266572 390485 982056 495205 409336 615553 963763 154612 460534 849050 347844 844292 740750 571088 374841 907898 944598 632489 933374 167708],[1 1 3 3 4 6 6 6 9 9 10 10 10 11 13 13 14 17 18 18]
C,Shell Sort,1000000,[266572 390485 982056 495205 409336 615553 963763 154612 460534 849050 347844 844292 740750 571088 374841 907898 944598 632489 933374 167708],[1 1 3 3 4 6 6 6 9 9 10 10 10 11 13 13 14 17 18 18]
C,Merge Sort,1000000,[266572 390485 982056 495205 409336 615553 963763 154612 460534 849050 347844 844292 740750 571088 374841 907898 944598 632489 933374 167708],[1 1 3 3 4 6 6 6 9 9 10 10 10 11 13 13 14 17 18 18]
C,Quick Sort,1000000,[266572 390485 982056 495205 409336 615553 963763 154612 460534 849050 347844 844292 740750 571088 374841 907898 944598 632489 933374 167708],[1 1 3 3 4 6 6 6 9 9 10 10 10 11 13 13 14 17 18 18]
C,Bucket Sort,1000000,[266572 390485 982056 495205 409336 615553 963763 154612 460534 849050 347844 844292 740750 571088 374841 907898 944598 632489 933374 167708],[1 1 3 3 4 6 6 6 9 9 10 10 10 11 13 13 14 17 18 18]
