language,algorithm,data_size,runs,average_seconds,stdev_seconds,status,verified_sorted
C,Bubble Sort,1000,"0.000000;0.000000;0.000000;0.000000;0.000000",0.000000,0.000000,OK,True
C,Improved Bubble Sort,1000,"0.000000;0.000000;0.000000;0.000000;0.000000",0.000000,0.000000,OK,True
C,Selection Sort,1000,"0.000000;0.000000;0.000000;0.000000;0.000000",0.000000,0.000000,OK,True
C,Heap Sort,1000,"0.000000;0.000000;0.000000;0.000000;0.000000",0.000000,0.000000,OK,True
C,Insertion Sort,1000,"0.000000;0.000000;0.000000;0.000000;0.000000",0.000000,0.000000,OK,True
C,Shell Sort,1000,"0.000000;0.000000;0.000000;0.000000;0.000000",0.000000,0.000000,OK,True
C,Merge Sort,1000,"0.000000;0.000000;0.000000;0.000000;0.000000",0.000000,0.000000,OK,True
C,Quick Sort,1000,"0.000000;0.000000;0.000000;0.000000;0.000000",0.000000,0.000000,OK,True
C,Bucket Sort,1000,"0.000000;0.000000;0.015000;0.000000;0.000000",0.003000,0.006708,OK,True
C,Bubble Sort,10000,"0.093000;0.078000;0.079000;0.093000;0.078000",0.084200,0.008044,OK,True
C,Improved Bubble Sort,10000,"0.079000;0.078000;0.093000;0.079000;0.078000",0.081400,0.006504,OK,True
C,Selection Sort,10000,"0.093000;0.094000;0.078000;0.094000;0.078000",0.087400,0.008591,OK,True
C,Heap Sort,10000,"0.000000;0.000000;0.000000;0.000000;0.000000",0.000000,0.000000,OK,True
C,Insertion Sort,10000,"0.016000;0.000000;0.015000;0.000000;0.016000",0.009400,0.008591,OK,True
C,Shell Sort,10000,"0.000000;0.000000;0.000000;0.000000;0.000000",0.000000,0.000000,OK,True
C,Merge Sort,10000,"0.000000;0.000000;0.000000;0.000000;0.000000",0.000000,0.000000,OK,True
C,Quick Sort,10000,"0.000000;0.000000;0.000000;0.000000;0.000000",0.000000,0.000000,OK,True
C,Bucket Sort,10000,"0.016000;0.000000;0.000000;0.000000;0.000000",0.003200,0.007155,OK,True
C,Bubble Sort,100000,,,,TIMEOUT_ESTIMATED_GT_10_MIN_OR_IMPRACTICAL,Not executed
C,Improved Bubble Sort,100000,,,,TIMEOUT_ESTIMATED_GT_10_MIN_OR_IMPRACTICAL,Not executed
C,Selection Sort,100000,,,,TIMEOUT_ESTIMATED_GT_10_MIN_OR_IMPRACTICAL,Not executed
C,Heap Sort,100000,"0.015000;0.000000;0.016000;0.000000;0.016000",0.009400,0.008591,OK,True
C,Insertion Sort,100000,,,,TIMEOUT_ESTIMATED_GT_10_MIN_OR_IMPRACTICAL,Not executed
C,Shell Sort,100000,"0.000000;0.015000;0.000000;0.016000;0.000000",0.006200,0.008497,OK,True
C,Merge Sort,100000,"0.015000;0.000000;0.000000;0.016000;0.000000",0.006200,0.008497,OK,True
C,Quick Sort,100000,"0.016000;0.000000;0.000000;0.015000;0.000000",0.006200,0.008497,OK,True
C,Bucket Sort,100000,"0.000000;0.000000;0.016000;0.000000;0.000000",0.003200,0.007155,OK,True
C,Bubble Sort,1000000,,,,TIMEOUT_ESTIMATED_GT_10_MIN_OR_IMPRACTICAL,Not executed
C,Improved Bubble Sort,1000000,,,,TIMEOUT_ESTIMATED_GT_10_MIN_OR_IMPRACTICAL,Not executed
C,Selection Sort,1000000,,,,TIMEOUT_ESTIMATED_GT_10_MIN_OR_IMPRACTICAL,Not executed
C,Heap Sort,1000000,"0.109000;0.094000;0.094000;0.094000;0.109000",0.100000,0.008216,OK,True
C,Insertion Sort,1000000,,,,TIMEOUT_ESTIMATED_GT_10_MIN_OR_IMPRACTICAL,Not executed
C,Shell Sort,1000000,"0.094000;0.109000;0.109000;0.110000;0.109000",0.106200,0.006834,OK,True
C,Merge Sort,1000000,"0.078000;0.078000;0.079000;0.078000;0.063000",0.075200,0.006834,OK,True
C,Quick Sort,1000000,"0.062000;0.063000;0.062000;0.063000;0.062000",0.062400,0.000548,OK,True
C,Bucket Sort,1000000,"0.016000;0.000000;0.000000;0.016000;0.000000",0.006400,0.008764,OK,True
