language,algorithm,data_size,runs,average_seconds,stdev_seconds,status,verified_sorted
C,Bubble Sort,1000,0.002249;0.002033;0.002121;0.002103;0.002283,0.002158,0.000105,OK,True
C,Improved Bubble Sort,1000,0.001954;0.002019;0.001774;0.001876;0.001757,0.001876,0.000113,OK,True
C,Selection Sort,1000,0.001050;0.001101;0.001017;0.001047;0.001126,0.001068,0.000044,OK,True
C,Heap Sort,1000,0.000131;0.000124;0.000132;0.000136;0.000120,0.000129,0.000007,OK,True
C,Insertion Sort,1000,0.000839;0.000825;0.000780;0.000756;0.000859,0.000812,0.000043,OK,True
C,Shell Sort,1000,0.000088;0.000084;0.000084;0.000095;0.000091,0.000088,0.000005,OK,True
C,Merge Sort,1000,0.000115;0.000114;0.000111;0.000118;0.000108,0.000113,0.000004,OK,True
C,Quick Sort,1000,0.000081;0.000084;0.000082;0.000085;0.000081,0.000082,0.000002,OK,True
C,Bucket Sort,1000,0.001033;0.000927;0.000956;0.000966;0.000933,0.000963,0.000042,OK,True
C,Bubble Sort,10000,0.181877;0.177870;0.183250;0.194125;0.185891,0.184603,0.006060,OK,True
C,Improved Bubble Sort,10000,0.161573;0.157331;0.158848;0.176528;0.168908,0.164638,0.007999,OK,True
C,Selection Sort,10000,0.106833;0.099475;0.108849;0.099345;0.102975,0.103496,0.004286,OK,True
C,Heap Sort,10000,0.001617;0.001534;0.001514;0.001544;0.001582,0.001558,0.000041,OK,True
C,Insertion Sort,10000,0.076224;0.069835;0.067535;0.070844;0.070287,0.070945,0.003208,OK,True
C,Shell Sort,10000,0.001145;0.001285;0.001272;0.001164;0.001230,0.001219,0.000063,OK,True
C,Merge Sort,10000,0.001672;0.001813;0.001689;0.001636;0.001631,0.001688,0.000074,OK,True
C,Quick Sort,10000,0.001111;0.001058;0.001115;0.001170;0.001082,0.001107,0.000042,OK,True
C,Bucket Sort,10000,0.002388;0.002699;0.002504;0.002336;0.002319,0.002449,0.000157,OK,True
