language,algorithm,data_size,before_first_20,after_first_20
Java,Bubble Sort,1000,[4061 918574 678916 531680 879260 981949 271293 731455 632691 767645 222204 326283 401623 953856 193761 239340 711459 354465 286293 909549],[16 891 2884 4061 4281 5862 6233 9152 10512 12234 13590 14208 14293 17396 17549 19033 19070 19080 19392 20907]
Java,Improved Bubble Sort,1000,[4061 918574 678916 531680 879260 981949 271293 731455 632691 767645 222204 326283 401623 953856 193761 239340 711459 354465 286293 909549],[16 891 2884 4061 4281 5862 6233 9152 10512 12234 13590 14208 14293 17396 17549 19033 19070 19080 19392 20907]
Java,Selection Sort,1000,[4061 918574 678916 531680 879260 981949 271293 731455 632691 767645 222204 326283 401623 953856 193761 239340 711459 354465 286293 909549],[16 891 2884 4061 4281 5862 6233 9152 10512 12234 13590 14208 14293 17396 17549 19033 19070 19080 19392 20907]
Java,Heap Sort,1000,[4061 918574 678916 531680 879260 981949 271293 731455 632691 767645 222204 326283 401623 953856 193761 239340 711459 354465 286293 909549],[16 891 2884 4061 4281 5862 6233 9152 10512 12234 13590 14208 14293 17396 17549 19033 19070 19080 19392 20907]
Java,Insertion Sort,1000,[4061 918574 678916 531680 879260 981949 271293 731455 632691 767645 222204 326283 401623 953856 193761 239340 711459 354465 286293 909549],[16 891 2884 4061 4281 5862 6233 9152 10512 12234 13590 14208 14293 17396 17549 19033 19070 19080 19392 20907]
Java,Shell Sort,1000,[4061 918574 678916 531680 879260 981949 271293 731455 632691 767645 222204 326283 401623 953856 193761 239340 711459 354465 286293 909549],[16 891 2884 4061 4281 5862 6233 9152 10512 12234 13590 14208 14293 17396 17549 19033 19070 19080 19392 20907]
Java,Merge Sort,1000,[4061 918574 678916 531680 879260 981949 271293 731455 632691 767645 222204 326283 401623 953856 193761 239340 711459 354465 286293 909549],[16 891 2884 4061 4281 5862 6233 9152 10512 12234 13590 14208 14293 17396 17549 19033 19070 19080 19392 20907]
Java,Quick Sort,1000,[4061 918574 678916 531680 879260 981949 271293 731455 632691 767645 222204 326283 401623 953856 193761 239340 711459 354465 286293 909549],[16 891 2884 4061 4281 5862 6233 9152 10512 12234 13590 14208 14293 17396 17549 19033 19070 19080 19392 20907]
Java,Bucket Sort,1000,[4061 918574 678916 531680 879260 981949 271293 731455 632691 767645 222204 326283 401623 953856 193761 239340 711459 354465 286293 909549],[16 891 2884 4061 4281 5862 6233 9152 10512 12234 13590 14208 14293 17396 17549 19033 19070 19080 19392 20907]
Java,Bubble Sort,10000,[869434 252244 219661 309772 509395 119976 346068 414652 532666 979889 883402 684200 312775 267934 936817 551864 327144 515253 79159 528539],[206 317 323 428 474 498 574 603 668 813 834 864 911 922 1180 1293 1320 1480 1523 1554]
Java,Improved Bubble Sort,10000,[869434 252244 219661 309772 509395 119976 346068 414652 532666 979889 883402 684200 312775 267934 936817 551864 327144 515253 79159 528539],[206 317 323 428 474 498 574 603 668 813 834 864 911 922 1180 1293 1320 1480 1523 1554]
Java,Selection Sort,10000,[869434 252244 219661 309772 509395 119976 346068 414652 532666 979889 883402 684200 312775 267934 936817 551864 327144 515253 79159 528539],[206 317 323 428 474 498 574 603 668 813 834 864 911 922 1180 1293 1320 1480 1523 1554]
Java,Heap Sort,10000,[869434 252244 219661 309772 509395 119976 346068 414652 532666 979889 883402 684200 312775 267934 936817 551864 327144 515253 79159 528539],[206 317 323 428 474 498 574 603 668 813 834 864 911 922 1180 1293 1320 1480 1523 1554]
Java,Insertion Sort,10000,[869434 252244 219661 309772 509395 119976 346068 414652 532666 979889 883402 684200 312775 267934 936817 551864 327144 515253 79159 528539],[206 317 323 428 474 498 574 603 668 813 834 864 911 922 1180 1293 1320 1480 1523 1554]
Java,Shell Sort,10000,[869434 252244 219661 309772 509395 119976 346068 414652 532666 979889 883402 684200 312775 267934 936817 551864 327144 515253 79159 528539],[206 317 323 428 474 498 574 603 668 813 834 864 911 922 1180 1293 1320 1480 1523 1554]
Java,Merge Sort,10000,[869434 252244 219661 309772 509395 119976 346068 414652 532666 979889 883402 684200 312775 267934 936817 551864 327144 515253 79159 528539],[206 317 323 428 474 498 574 603 668 813 834 864 911 922 1180 1293 1320 1480 1523 1554]
Java,Quick Sort,10000,[869434 252244 219661 309772 509395 119976 346068 414652 532666 979889 883402 684200 312775 267934 936817 551864 327144 515253 79159 528539],[206 317 323 428 474 498 574 603 668 813 834 864 911 922 1180 1293 1320 1480 1523 1554]
Java,Bucket Sort,10000,[869434 252244 219661 309772 509395 119976 346068 414652 532666 979889 883402 684200 312775 267934 936817 551864 327144 515253 79159 528539],[206 317 323 428 474 498 574 603 668 813 834 864 911 922 1180 1293 1320 1480 1523 1554]
Java,Heap Sort,100000,[38348 464502 264082 937132 443368 791920 920135 921908 371008 468036 813268 489913 931088 724421 679828 587993 511836 346772 573396 460053],[6 10 14 14 24 35 43 52 52 89 91 100 121 122 130 143 143 152 154 159]
Java,Shell Sort,100000,[38348 464502 264082 937132 443368 791920 920135 921908 371008 468036 813268 489913 931088 724421 679828 587993 511836 346772 573396 460053],[6 10 14 14 24 35 43 52 52 89 91 100 121 122 130 143 143 152 154 159]
Java,Merge Sort,100000,[38348 464502 264082 937132 443368 791920 920135 921908 371008 468036 813268 489913 931088 724421 679828 587993 511836 346772 573396 460053],[6 10 14 14 24 35 43 52 52 89 91 100 121 122 130 143 143 152 154 159]
Java,Quick Sort,100000,[38348 464502 264082 937132 443368 791920 920135 921908 371008 468036 813268 489913 931088 724421 679828 587993 511836 346772 573396 460053],[6 10 14 14 24 35 43 52 52 89 91 100 121 122 130 143 143 152 154 159]
Java,Bucket Sort,100000,[38348 464502 264082 937132 443368 791920 920135 921908 371008 468036 813268 489913 931088 724421 679828 587993 511836 346772 573396 460053],[6 10 14 14 24 35 43 52 52 89 91 100 121 122 130 143 143 152 154 159]
Java,Heap Sort,1000000,[740144 711872 174280 754250 865431 49927 625097 710760 592744 918776 41147 207029 208824 236626 20106 630061 845397 995198 819291 729767],[0 0 0 1 2 2 4 4 6 9 10 10 12 12 13 17 17 18 18 19]
Java,Shell Sort,1000000,[740144 711872 174280 754250 865431 49927 625097 710760 592744 918776 41147 207029 208824 236626 20106 630061 845397 995198 819291 729767],[0 0 0 1 2 2 4 4 6 9 10 10 12 12 13 17 17 18 18 19]
Java,Merge Sort,1000000,[740144 711872 174280 754250 865431 49927 625097 710760 592744 918776 41147 207029 208824 236626 20106 630061 845397 995198 819291 729767],[0 0 0 1 2 2 4 4 6 9 10 10 12 12 13 17 17 18 18 19]
Java,Quick Sort,1000000,[740144 711872 174280 754250 865431 49927 625097 710760 592744 918776 41147 207029 208824 236626 20106 630061 845397 995198 819291 729767],[0 0 0 1 2 2 4 4 6 9 10 10 12 12 13 17 17 18 18 19]
Java,Bucket Sort,1000000,[740144 711872 174280 754250 865431 49927 625097 710760 592744 918776 41147 207029 208824 236626 20106 630061 845397 995198 819291 729767],[0 0 0 1 2 2 4 4 6 9 10 10 12 12 13 17 17 18 18 19]
