language,algorithm,data_size,runs,average_seconds,stdev_seconds,status,verified_sorted
Java,Bubble Sort,1000,"0.002997;0.001553;0.001081;0.001076;0.000680",0.001477,0.000904,OK,true
Java,Improved Bubble Sort,1000,"0.003222;0.001667;0.001065;0.001057;0.000677",0.001538,0.001006,OK,true
Java,Selection Sort,1000,"0.001953;0.001062;0.001253;0.001259;0.000222",0.001149,0.000620,OK,true
Java,Heap Sort,1000,"0.000235;0.000106;0.000109;0.000104;0.000104",0.000132,0.000058,OK,true
Java,Insertion Sort,1000,"0.001597;0.000525;0.000524;0.000376;0.000526",0.000709,0.000500,OK,true
Java,Shell Sort,1000,"0.000343;0.000345;0.000339;0.000350;0.000232",0.000322,0.000051,OK,true
Java,Merge Sort,1000,"0.000370;0.000091;0.000088;0.000088;0.000088",0.000145,0.000126,OK,true
Java,Quick Sort,1000,"0.000209;0.000179;0.000063;0.000061;0.000060",0.000114,0.000074,OK,true
Java,Bucket Sort,1000,"0.004199;0.003254;0.003076;0.003162;0.003231",0.003384,0.000461,OK,true
Java,Bubble Sort,10000,"0.086117;0.085833;0.085632;0.086232;0.085524",0.085868,0.000304,OK,true
Java,Improved Bubble Sort,10000,"0.083359;0.083233;0.083425;0.083552;0.083881",0.083490,0.000247,OK,true
Java,Selection Sort,10000,"0.018153;0.018381;0.018530;0.018693;0.018495",0.018451,0.000200,OK,true
Java,Heap Sort,10000,"0.000996;0.000943;0.000921;0.000922;0.000593",0.000875,0.000161,OK,true
Java,Insertion Sort,10000,"0.020906;0.005797;0.005754;0.005730;0.005670",0.008771,0.006784,OK,true
Java,Shell Sort,10000,"0.001272;0.000987;0.000726;0.000724;0.000710",0.000884,0.000246,OK,true
Java,Merge Sort,10000,"0.000727;0.000706;0.000703;0.000703;0.000703",0.000708,0.000011,OK,true
Java,Quick Sort,10000,"0.000586;0.000569;0.000566;0.000567;0.000567",0.000571,0.000009,OK,true
Java,Bucket Sort,10000,"0.001850;0.001815;0.001831;0.001788;0.001826",0.001822,0.000023,OK,true
Java,Bubble Sort,100000,,,,TIMEOUT_ESTIMATED_GT_10_MIN_OR_IMPRACTICAL,Not executed
Java,Improved Bubble Sort,100000,,,,TIMEOUT_ESTIMATED_GT_10_MIN_OR_IMPRACTICAL,Not executed
Java,Selection Sort,100000,,,,TIMEOUT_ESTIMATED_GT_10_MIN_OR_IMPRACTICAL,Not executed
Java,Heap Sort,100000,"0.007600;0.007198;0.007180;0.007197;0.007208",0.007277,0.000181,OK,true
Java,Insertion Sort,100000,,,,TIMEOUT_ESTIMATED_GT_10_MIN_OR_IMPRACTICAL,Not executed
Java,Shell Sort,100000,"0.010397;0.010375;0.010411;0.010374;0.010411",0.010393,0.000019,OK,true
Java,Merge Sort,100000,"0.008449;0.008444;0.008418;0.008432;0.008434",0.008435,0.000012,OK,true
Java,Quick Sort,100000,"0.006786;0.006751;0.006704;0.006602;0.006598",0.006688,0.000085,OK,true
Java,Bucket Sort,100000,"0.002463;0.002535;0.002419;0.002455;0.002453",0.002465,0.000043,OK,true
Java,Bubble Sort,1000000,,,,TIMEOUT_ESTIMATED_GT_10_MIN_OR_IMPRACTICAL,Not executed
Java,Improved Bubble Sort,1000000,,,,TIMEOUT_ESTIMATED_GT_10_MIN_OR_IMPRACTICAL,Not executed
Java,Selection Sort,1000000,,,,TIMEOUT_ESTIMATED_GT_10_MIN_OR_IMPRACTICAL,Not executed
Java,Heap Sort,1000000,"0.095051;0.095134;0.096860;0.096545;0.096291",0.095976,0.000832,OK,true
Java,Insertion Sort,1000000,,,,TIMEOUT_ESTIMATED_GT_10_MIN_OR_IMPRACTICAL,Not executed
Java,Shell Sort,1000000,"0.147782;0.147319;0.147005;0.146330;0.145233",0.146733,0.000991,OK,true
Java,Merge Sort,1000000,"0.101471;0.101620;0.100588;0.099827;0.101780",0.101057,0.000829,OK,true
Java,Quick Sort,1000000,"0.077761;0.077523;0.076847;0.077627;0.076313",0.077214,0.000615,OK,true
Java,Bucket Sort,1000000,"0.008391;0.008391;0.009754;0.011588;0.009078",0.009440,0.001327,OK,true
