language,algorithm,data_size,before_first_20,after_first_20
Python,Bubble Sort,1000,"[898197, 781923, 77593, 292057, 498684, 883375, 44855, 589001, 95770, 646934, 994768, 463805, 131599, 120001, 318398, 466967, 337202, 128338, 705908, 661706]","[869, 1935, 3247, 3323, 4076, 5292, 6142, 8449, 10276, 11427, 12017, 12640, 13689, 14392, 15478, 16837, 17216, 17656, 18517, 19362]"
Python,Improved Bubble Sort,1000,"[898197, 781923, 77593, 292057, 498684, 883375, 44855, 589001, 95770, 646934, 994768, 463805, 131599, 120001, 318398, 466967, 337202, 128338, 705908, 661706]","[869, 1935, 3247, 3323, 4076, 5292, 6142, 8449, 10276, 11427, 12017, 12640, 13689, 14392, 15478, 16837, 17216, 17656, 18517, 19362]"
Python,Selection Sort,1000,"[898197, 781923, 77593, 292057, 498684, 883375, 44855, 589001, 95770, 646934, 994768, 463805, 131599, 120001, 318398, 466967, 337202, 128338, 705908, 661706]","[869, 1935, 3247, 3323, 4076, 5292, 6142, 8449, 10276, 11427, 12017, 12640, 13689, 14392, 15478, 16837, 17216, 17656, 18517, 19362]"
Python,Heap Sort,1000,"[898197, 781923, 77593, 292057, 498684, 883375, 44855, 589001, 95770, 646934, 994768, 463805, 131599, 120001, 318398, 466967, 337202, 128338, 705908, 661706]","[869, 1935, 3247, 3323, 4076, 5292, 6142, 8449, 10276, 11427, 12017, 12640, 13689, 14392, 15478, 16837, 17216, 17656, 18517, 19362]"
Python,Insertion Sort,1000,"[898197, 781923, 77593, 292057, 498684, 883375, 44855, 589001, 95770, 646934, 994768, 463805, 131599, 120001, 318398, 466967, 337202, 128338, 705908, 661706]","[869, 1935, 3247, 3323, 4076, 5292, 6142, 8449, 10276, 11427, 12017, 12640, 13689, 14392, 15478, 16837, 17216, 17656, 18517, 19362]"
Python,Shell Sort,1000,"[898197, 781923, 77593, 292057, 498684, 883375, 44855, 589001, 95770, 646934, 994768, 463805, 131599, 120001, 318398, 466967, 337202, 128338, 705908, 661706]","[869, 1935, 3247, 3323, 4076, 5292, 6142, 8449, 10276, 11427, 12017, 12640, 13689, 14392, 15478, 16837, 17216, 17656, 18517, 19362]"
Python,Merge Sort,1000,"[898197, 781923, 77593, 292057, 498684, 883375, 44855, 589001, 95770, 646934, 994768, 463805, 131599, 120001, 318398, 466967, 337202, 128338, 705908, 661706]","[869, 1935, 3247, 3323, 4076, 5292, 6142, 8449, 10276, 11427, 12017, 12640, 13689, 14392, 15478, 16837, 17216, 17656, 18517, 19362]"
Python,Quick Sort,1000,"[898197, 781923, 77593, 292057, 498684, 883375, 44855, 589001, 95770, 646934, 994768, 463805, 131599, 120001, 318398, 466967, 337202, 128338, 705908, 661706]","[869, 1935, 3247, 3323, 4076, 5292, 6142, 8449, 10276, 11427, 12017, 12640, 13689, 14392, 15478, 16837, 17216, 17656, 18517, 19362]"
Python,Bucket Sort,1000,"[898197, 781923, 77593, 292057, 498684, 883375, 44855, 589001, 95770, 646934, 994768, 463805, 131599, 120001, 318398, 466967, 337202, 128338, 705908, 661706]","[869, 1935, 3247, 3323, 4076, 5292, 6142, 8449, 10276, 11427, 12017, 12640, 13689, 14392, 15478, 16837, 17216, 17656, 18517, 19362]"
Python,Bubble Sort,10000,"[697165, 497767, 474343, 592740, 568165, 5364, 762649, 420827, 695709, 770538, 517903, 974371, 719179, 539742, 572805, 952211, 251045, 505600, 709790, 878276]","[51, 65, 210, 281, 293, 303, 328, 425, 531, 610, 634, 671, 703, 954, 986, 987, 1016, 1055, 1082, 1166]"
