language,algorithm,data_size,runs,average_seconds,stdev_seconds,status,verified_sorted
Python,Bubble Sort,1000,0.032442;0.031138;0.031234;0.031182;0.031226,0.031445,0.000559,OK,True
Python,Improved Bubble Sort,1000,0.031880;0.031534;0.031796;0.030941;0.030922,0.031415,0.000459,OK,True
Python,Selection Sort,1000,0.014777;0.015080;0.014943;0.015712;0.015206,0.015144,0.000356,OK,True
Python,Heap Sort,1000,0.001378;0.001365;0.001369;0.001372;0.001366,0.001370,0.000005,OK,True
Python,Insertion Sort,1000,0.015815;0.015107;0.015066;0.015024;0.015104,0.015223,0.000332,OK,True
Python,Shell Sort,1000,0.001092;0.001049;0.001045;0.001057;0.001042,0.001057,0.000021,OK,True
Python,Merge Sort,1000,0.000975;0.000968;0.000968;0.000966;0.000965,0.000968,0.000004,OK,True
Python,Quick Sort,1000,0.000738;0.000710;0.000710;0.000709;0.000706,0.000715,0.000013,OK,True
Python,Bucket Sort,1000,0.090248;0.089721;0.088673;0.088214;0.087981,0.088967,0.000979,OK,True
Python,Bubble Sort,10000,3.473162;3.501355;3.511331;3.495494;3.490535,3.494375,0.014161,OK,True
Python,Improved Bubble Sort,10000,3.596785;3.599173;3.582807;3.639056;3.572870,3.598138,0.025252,OK,True
Python,Selection Sort,10000,1.520659;1.523122;1.521435;1.526697;1.533410,1.525065,0.005212,OK,True
Python,Heap Sort,10000,0.019560;0.019609;0.019591;0.019622;0.019566,0.019589,0.000027,OK,True
Python,Insertion Sort,10000,1.673924;1.675488;1.642630;1.684452;1.640386,1.663376,0.020378,OK,True
Python,Shell Sort,10000,0.020341;0.020184;0.020198;0.020170;0.020179,0.020214,0.000071,OK,True
Python,Merge Sort,10000,0.013325;0.013306;0.013297;0.013256;0.013207,0.013278,0.000047,OK,True
Python,Quick Sort,10000,0.008559;0.008526;0.008524;0.008541;0.008540,0.008538,0.000014,OK,True
Python,Bucket Sort,10000,0.089654;0.088141;0.087812;0.087883;0.087983,0.088295,0.000770,OK,True
Python,Bubble Sort,100000,,,,TIMEOUT_ESTIMATED_GT_10_MIN_OR_IMPRACTICAL,Not executed
Python,Improved Bubble Sort,100000,,,,TIMEOUT_ESTIMATED_GT_10_MIN_OR_IMPRACTICAL,Not executed
Python,Selection Sort,100000,,,,TIMEOUT_ESTIMATED_GT_10_MIN_OR_IMPRACTICAL,Not executed
Python,Heap Sort,100000,0.257326;0.257586;0.259039;0.261684;0.263686,0.259864,0.002749,OK,True
Python,Insertion Sort,100000,,,,TIMEOUT_ESTIMATED_GT_10_MIN_OR_IMPRACTICAL,Not executed
Python,Shell Sort,100000,0.342973;0.335729;0.344322;0.335451;0.343518,0.340399,0.004417,OK,True
Python,Merge Sort,100000,0.165070;0.164683;0.164512;0.170547;0.165504,0.166063,0.002536,OK,True
Python,Quick Sort,100000,0.103368;0.103827;0.103155;0.103808;0.103538,0.103539,0.000288,OK,True
Python,Bucket Sort,100000,0.096852;0.095828;0.095537;0.096335;0.097832,0.096477,0.000908,OK,True
Python,Bubble Sort,1000000,,,,TIMEOUT_ESTIMATED_GT_10_MIN_OR_IMPRACTICAL,Not executed
Python,Improved Bubble Sort,1000000,,,,TIMEOUT_ESTIMATED_GT_10_MIN_OR_IMPRACTICAL,Not executed
Python,Selection Sort,1000000,,,,TIMEOUT_ESTIMATED_GT_10_MIN_OR_IMPRACTICAL,Not executed
Python,Heap Sort,1000000,4.128165;4.142725;4.104168;4.095215;4.153443,4.124743,0.024769,OK,True
Python,Insertion Sort,1000000,,,,TIMEOUT_ESTIMATED_GT_10_MIN_OR_IMPRACTICAL,Not executed
Python,Shell Sort,1000000,6.707841;6.991223;6.839447;6.795129;6.583283,6.783385,0.151843,OK,True
Python,Merge Sort,1000000,2.331577;2.416327;2.420118;2.494842;2.371431,2.406859,0.061092,OK,True
Python,Quick Sort,1000000,1.559265;1.421517;1.417314;1.462383;1.523468,1.476790,0.062811,OK,True
Python,Bucket Sort,1000000,0.199446;0.166953;0.163554;0.163705;0.163545,0.171441,0.015723,OK,True
